LCI,R3500900,E7013407,S1542000,E8013403,R1487700,R2602100,S3594800,T6216501,S0921200,R0070700
3,1,1.354122,3,34.8614,6,3,8,3.281388,4,2
1,0,2,10,0,0,1,2,1,4,1
1,1,2,5,99,3,3,8,5,3,1
5,0.52082009,2,4.8714,0,0,0,1.8549,3.281388,3.5490221,1
4,0.52082009,2,10,0,0,0,1.8549,1,4,1
0,0,1.354122,10,34.8614,0,0,7,3.281388,3,2
0,0.52082009,0,1,0,1,0,0,1,4,1
11,1,2,10,99,9,3,1,5,3,1
2,1,0,5,99,1,2,0,5,3,2
5,1,0,10,99,4,2,2,2,3,2
1,1,1,1,99,3,1,0,5,3,1
1,0.52082009,2,1,99,3,1,2,5,3,2
6,1,0,10,99,1,1,1,7,3,1
6,1,2,1,99,3,0,0,3,4,2
8,0.52082009,1,10,99,3,3,1,5,3,1
4,1,0,4,0,0,0,1.8549,2,3,1
1,0,2,10,0,4,0,2,7,3,1
3,1,2,10,99,2,2,1,1,2,2
3,1,2,10,99,6,3,1,7,4,1
3,0.52082009,2,10,99,4,2,1,7,4,1
4,1,5,10,99,0,2,1.8549,5,2,2
6,1,0,10,99,0,3,1.8549,2,3,1
3,0,2,1,0,3,2,0,4,4,1
1,0,2,1,99,0,2,0,1,4,1
1,1,2,4,99,6,3,1.8549,6,4,1
1,0,2,1,0,0,0,0,1,4,1
1,0.52082009,1.354122,1,34.8614,0,0,0,1,3,1
0,0.52082009,0,1,0,1,0,0,7,3,1
0,0,0,1,0,0,1,0,2,4,2
1,0.52082009,1,1,0,0,0,0,3,3,1
1,0,2,1,0,1,1,0,6,4,2
3,0.52082009,2,4,0,1,1.0778,1.8549,2,3,3
3,0.52082009,2,4,0,0,1.0778,0,5,4,1
3,0,2,2,0,0,1,0,1,3,1
7,1,3,10,0,0,3,2,3,4,1
1,0.52082009,0,1,0,0,1,0,4,4,1
2,1,1.354122,10,0,0,1.0778,1,1,4,1
1,0,2,1,0,0,0,1.8549,1,4,1
0,0.52082009,0,4.8714,0,0,0,1.8549,3.281388,3.5490221,2
1,1,2,1,99,2,3,0,5,4,1
3,0,1,2,0,0,0,2,3,3,1
5,0.52082009,1.354122,1,34.8614,0,2,0,3.281388,4,1
1,0,2,1,0,1,1,0,2,4,1
1,0,2,1,0,1,2,8,2,4,1
3,0.52082009,2,1,0,0,0,0,7,4,1
1,0,2,1,0,0,3,1.8549,3.281388,4,1
1,0,2,5,0,0,1,0,3,2,1
2,0,2,10,0,1,0,8,1,4,1
3,0.52082009,2,5,0,0,0,0,2,4,1.52947075
1,0,2,10,0,3,1,3,7,4,1
3,1,1.354122,4.8714,34.8614,0,1,1.8549,1,3.5490221,3
2,1,1.354122,10,34.8614,0,1,1.8549,3.281388,4,2
0,1,1.354122,4.8714,34.8614,6,3,1.8549,7,3.5490221,2
2,0.52082009,1,1,99,0,1,0,1,4,1
1,0,1.354122,1,34.8614,1,0,0,3.281388,4,1
0,0.52082009,0,1,0,0,0,0,1,3,1
0,0.52082009,0,4,0,0,0,1.8549,1,4,1.52947075
5,1,1,10,99,1,2,1.8549,2,4,3
9,0.52082009,1,10,99,2,3,1,2,4,5
3,1,1,4,99,0,0,1.8549,1,4,1
0,0.52082009,1.354122,4.8714,34.8614,6,1,1.8549,3.281388,3.5490221,1
0,0,0,5,0,3,0,0,1,4,3
0,0.52082009,0,1,0,0,1.0778,0,7,4,1.52947075
5,1,2,10,99,3,3,1.8549,2,3,1
0,0.52082009,1.354122,4.8714,34.8614,6,3,1.8549,3.281388,3.5490221,1
3,0.52082009,2,2,99,9,3,0,6,4,1
1,0.52082009,1.354122,10,34.8614,2,1.0778,6,7,4,2
10,0.52082009,4,10,99,10,1.0778,3,7,3,1
0,0,0,1,0,1,0,2,1,4,1
2,0,1,2,0,5,3,0,3.281388,4,1
0,0,0,4,0,2,0,1.8549,3,4,1
1,1,2,4,0,1,0,1.8549,3,4,1
2,0.52082009,0,4,99,0,1.0778,1.8549,7,2,1
3,0,2,10,0,2,1,8,5,3,1
0,0,0,1,0,0,0,0,1,2,1
3,0,2,2,0,3,1,1.8549,2,4,2
0,0,1.354122,2,34.8614,0,0,1.8549,3.281388,4,1
1,0.52082009,2,10,0,0,0,9,1,2,1
1,0.52082009,2,1,0,0,0,0,3.281388,4,1
2,1,0,5,0,0,3,0,1,4,1
0,1,0,1,99,3,1,0,3,3,1
1,0,2,2,0,0,0,1.8549,1,4,1
1,0.52082009,1,4,0,0,0,1,5,3,1
4,1,2,10,0,0,3,4,1,3,1
3,1,1,2,99,8,3,2,7,4,2
0,0,0,2,99,10,3,2,7,3,3
4,0,2,10,99,1,0,1,2,3,1
6,0,2,10,0,2,1,1,3,2,2
1,0,2,1,0,0,0,0,2,3,1
1,1,2,1,0,0,1,0,2,3,2
1,0,1,1,99,1,2,0,5,4,2
1,0,2,1,0,0,1,0,1,3,1
1,0.52082009,1,1,0,0,0,0,2,4,1
1,0,1,1,0,1,2,7,1,3,1
1,0,2,1,0,0,0,1.8549,1,4,1
1,0,2,1,0,0,0,0,1,3,1
2,1,0,10,99,1,2,3,4,4,1
4,1,1.354122,10,34.8614,4,3,3,7,3,1
2,1,1,4,0,3,2,1.8549,4,3,1
1,0,2,1,0,0,0,0,4,4,1
1,0,2,1,0,0,0,3,2,3,1
3,0.52082009,1,1,0,0,3,0,3.281388,4,1
4,1,1.354122,1,34.8614,1,2,0,4,4,1
0,0.52082009,1.354122,1,34.8614,0,0,0,3.281388,4,2
3,1,2,5,99,5,3,1,1,4,1
0,1,1.354122,4,34.8614,3,3,0,3.281388,4,1
2,0,2,2,99,1,3,3,3,3,3
1,0,2,2,0,1,0,0,1,4,1.52947075
5,1,2,10,99,4,0,1.8549,2,4,1
0,0,1.354122,1,34.8614,0,0,1.8549,3.281388,4,1
0,0.52082009,1.354122,4.8714,34.8614,1,1.0778,1.8549,3.281388,3.5490221,1
1,1,2,4,0,0,0,1,1,4,1
1,0.52082009,1.354122,4.8714,34.8614,1,2,1.8549,3.281388,3.5490221,1
0,0,1.354122,4.8714,34.8614,1,3,4,3.281388,3.5490221,1
1,1,1,10,0,0,2,3,2,2,4
2,1,1,10,99,1,1,1.8549,6,3,1
4,0.52082009,1,10,99,0,0,1.8549,5,2,1
1,0.52082009,2,1,0,0,0,3,2,4,1
2,1,1,4.8714,0,1,0,1.8549,3.281388,3.5490221,1
0,0,1.354122,4,34.8614,1,3,4,3,4,1
1,1,2,4,99,3,0,1,6,3,2
0,0.52082009,1.354122,4,34.8614,1,0,1.8549,3.281388,3,1
0,0,1.354122,1,34.8614,1,0,0,3.281388,4,2
3,1,1,5,99,1,1.0778,1.8549,1,4,1
12,1,1,10,99,3,3,2,7,3,2
0,0.52082009,1.354122,4.8714,34.8614,1,1.0778,1.8549,3.281388,3.5490221,1
0,0.52082009,1.354122,4.8714,34.8614,0,1.0778,1.8549,3.281388,3.5490221,1
5,1,1,10,0,0,3,1,2,3,1
4,0.52082009,2,2,0,0,0,4,1,3,1
0,0,1.354122,3,34.8614,2,2,0,3.281388,4,1
4,0,1.354122,2,34.8614,0,0,1,5,4,1
1,1,2,1,0,1,2,1,1,4,1
4,1,2,1,0,1,3,0,7,4,1
0,0.52082009,1.354122,1,34.8614,0,1.0778,1.8549,3.281388,4,1
0,0.52082009,1.354122,1,34.8614,0,1.0778,1.8549,3.281388,4,1
1,1,1.354122,10,34.8614,0,3,9,3,4,1
1,0,2,1,0,0,0,3,2,4,1
3,1,0,10,0,1,3,2,1,4,2
3,1,2,1,99,3,0,0,5,4,1
9,1,0,10,99,1,0,1.8549,1,3,1
1,0.52082009,2,4,99,0,1,1,5,2,1
2,0.52082009,1.354122,4.8714,99,1,2,1.8549,3.281388,3.5490221,1
6,0,1,4,99,6,2,1.8549,3.281388,4,1
3,0.52082009,1,4,0,1,1,9,6,3,1
9,1,1,2,99,8,2,0,6,4,2
3,1,2,2,0,0,1,1.8549,2,3,1
0,0.52082009,1.354122,4.8714,34.8614,5,1.0778,1.8549,3.281388,3.5490221,2
0,0.52082009,1.354122,4.8714,34.8614,2,1.0778,1.8549,3.281388,3.5490221,1
1,0,2,4,0,0,1,1.8549,4,4,2
2,1,0,1,0,1,3,0,1,4,1
1,0,2,1,0,1,1,0,7,3,1
5,1,4,10,0,3,3,1.8549,5,3,1
1,0,2,4,99,3,0,1.8549,6,4,1
14,1,0,4,99,0,3,3,7,3,2
8,1,3,10,99,0,3,1.8549,5,4,2
0,0.52082009,1.354122,1,34.8614,1,1,0,3.281388,4,1
1,0.52082009,1.354122,4.8714,34.8614,0,1.0778,1.8549,2,3.5490221,1
0,0.52082009,1.354122,4.8714,34.8614,0,1.0778,1.8549,3.281388,3.5490221,1
1,0,2,1,0,0,0,0,3,4,1
3,0,4,10,0,1,2,1,7,4,1
1,0.52082009,1,1,99,2,1,0,7,4,1
1,0,2,10,0,0,3,1.8549,3.281388,4,1
0,0,0,1,0,0,0,0,1,3,1
1,0.52082009,2,10,0,0,1,0,6,4,1
0,0.52082009,1.354122,4,34.8614,0,0,1.8549,3.281388,3,1
0,0,1.354122,1,34.8614,0,0,0,3.281388,4,1
0,0,0,1,99,1,2,0,1,1,1
0,0,1.354122,10,34.8614,1,1,9,3.281388,3,1
0,0.52082009,1.354122,4.8714,34.8614,0,1.0778,1.8549,3.281388,3.5490221,2
1,0,1.354122,1,34.8614,0,1,0,1,4,1
3,1,2,2,0,1,0,0,2,4,1
3,0.52082009,4,10,99,0,0,1,1,4,1
2,0,1.354122,1,34.8614,2,2,0,1,3,1
0,0,1.354122,1,34.8614,0,0,0,1,3,1
0,0.52082009,0,1,0,0,0,0,1,3,1
2,1,1,6,0,0,1,1.8549,3.281388,4,2
1,0,2,10,0,0,1,2,6,3,1
1,0.52082009,2,10,0,0,1.0778,2,2,4,1
1,0.52082009,2,1,0,0,0,0,4,3,1
7,0,0,4,99,1,3,3,2,4,1
2,0,1.354122,2,34.8614,1,2,3,5,4,1
1,0,1.354122,2,34.8614,0,2,3,3.281388,4,1
1,0,1.354122,1,34.8614,0,0,0,3.281388,2,2
2,0,1.354122,10,34.8614,0,2,8,3.281388,3,2
3,1,1.354122,5,0,3,1.0778,1,2,4,2
7,0.52082009,0,10,99,5,3,1,7,3,1
0,1,1.354122,1,34.8614,1,3,1.8549,3.281388,4,1
0,0,0,1,99,3,3,2,5,4,1
1,0.52082009,2,10,0,0,3,2,5,4,1
2,1,1.354122,4.8714,34.8614,2,1,2,3.281388,3.5490221,1
1,0,2,10,0,0,2,8,1,4,1
3,0.52082009,2,1,0,0,0,3,1,3,1
4,1,4,10,0,0,1.0778,1.8549,3.281388,4,1.52947075
1,0,2,1,0,0,0,0,4,4,1
3,1,2,4,99,2,2,9,7,2,3
1,0,2,10,0,0,1,8,5,4,1
1,0,1,1,0,0,2,0,7,3,1
4,0,2,4.8714,0,0,0,0,2,3.5490221,2
6,1,2,10,0,1,3,4,5,3,2
10,0,0,10,99,9,1.0778,1.8549,7,3,2
7,1,1,4,0,4,3,1,1,3,1
1,0.52082009,2,10,0,0,0,8,1,4,1
7,1,1,10,0,2,2,1,7,4,3
2,0.52082009,0,2,99,1,3,1,5,3,1
6,0.52082009,2,1,99,3,0,0,6,4,1
1,0,2,10,0,1,2,0,5,4,1
9,1,2,10,0,0,1,1,1,4,1
0,0,0,4,99,0,1,3,3.281388,4,1
1,1,2,4.8714,0,0,2,1.8549,3.281388,3.5490221,1
10,1,0,1,0,0,1,0,1,4,2
2,1,3,10,0,0,1.0778,1,7,4,1
1,0.52082009,1.354122,4.8714,34.8614,2,1.0778,1.8549,2,3.5490221,1
5,0,4,1,0,0,0,1,2,3,1
11,0.52082009,2,4,99,5,3,1,5,4,1
3,0.52082009,2,4.8714,0,0,1,2,4,3.5490221,1
1,1,2,2,0,1,1,0,1,4,1
4,1,2,10,0,0,1,1.8549,2,4,1
6,0.52082009,4,10,99,9,3,1.8549,7,4,1
0,0,1.354122,4,34.8614,0,0,3,3.281388,3,1
1,0,2,1,0,0,0,0,2,4,1
1,0.52082009,2,1,0,0,0,0,2,4,1
3,0,1,1,0,0,0,0,5,4,2
0,0.52082009,1.354122,1,34.8614,1,0,0,3.281388,4,1
0,0,1.354122,5,34.8614,0,0,0,3.281388,4,1
1,0,1.354122,2,34.8614,0,0,0,3.281388,3,1
2,0,0,1,0,0,0,0,2,4,1
4,1,2,10,0,1,3,1.8549,1,3,1
5,1,2,10,0,3,3,3,6,4,1
7,1,1,4,0,2,3,2,4,3,3
1,0.52082009,1,4.8714,0,2,2,1.8549,4,3.5490221,1
13,1,1,4,99,10,3,1.8549,4,3,1
7,1,1,10,99,4,3,1.8549,5,3,1
3,0.52082009,1,4,99,6,3,1.8549,5,4,1
1,0.52082009,1,4,99,5,3,4,5,3,1
1,1,0,10,0,0,1,3,5,4,1
1,1,2,4.8714,0,1,3,1.8549,1,3.5490221,1
0,0.52082009,1.354122,4.8714,34.8614,0,1.0778,1.8549,3.281388,3.5490221,1
0,1,1.354122,4.8714,34.8614,0,1.0778,1.8549,3.281388,3.5490221,1
0,0.52082009,1.354122,4.8714,34.8614,0,0,1.8549,2,3.5490221,1
1,0,1.354122,10,34.8614,0,1.0778,1.8549,3.281388,3,2
1,0.52082009,2,10,0,1,0,3,1,4,1
1,0,2,1,0,2,2,0,5,4,2
1,0,1,10,0,0,1,2,4,4,1
2,0,1.354122,4.8714,34.8614,1,1,1.8549,6,3.5490221,2
1,1,2,1,0,0,0,0,2,3,3
3,0.52082009,0,1,99,2,1,0,5,4,1
1,0.52082009,2,4.8714,0,0,0,1.8549,3.281388,3.5490221,2
2,0.52082009,0,4.8714,0,0,0,1.8549,3.281388,3.5490221,2
0,0,1.354122,4,34.8614,1,0,1,1,4,2
1,0.52082009,2,2,99,0,1,0,3,4,1
3,1,2,10,0,1,2,1,1,4,1
1,0,2,1,0,1,1,0,2,4,1
1,1,1.354122,4,34.8614,1,2,2,1,4,1
4,1,1.354122,10,34.8614,1,0,2,1,4,1
0,0.52082009,0,4,0,0,0,1.8549,3,4,1
1,1,2,10,99,5,3,7,4,4,1
4,1,4,10,0,1,1,2,7,4,1
1,1,2,4.8714,0,0,2,1.8549,6,3.5490221,1
3,1,2,10,0,5,2,2,1,3,3
4,0,1,10,99,4,3,1,7,4,1
3,0,1,10,0,1,0,0,3,4,2
1,0.52082009,2,1,0,0,0,0,1,4,1
1,0,1,10,0,0,1,6,2,4,1
1,0.52082009,2,1,0,0,1,0,4,4,1
3,1,1.354122,1,34.8614,1,2,6,4,4,1
4,1,4,10,99,2,1,1,2,3,1
0,0,0,4,0,0,0,1,5,4,1
1,0,1,1,0,0,1,0,1,4,1
1,0.52082009,2,1,0,0,0,0,1,3,1
1,1,2,4,0,0,2,3,6,4,1
1,0,2,1,0,3,0,0,2,4,3
6,1,2,10,0,2,1,6,2,3,2
1,0,2,1,0,0,2,0,1,3,1
3,0,1.354122,1,34.8614,0,0,1,5,4,1
3,1,2,10,0,0,2,5,1,4,1
0,0,1.354122,4.8714,34.8614,2,1,1.8549,3.281388,3.5490221,1
1,1,2,1,0,0,1,0,1,4,1
3,1,4,1,0,0,1,0,3,3,1
1,0,2,1,0,0,1,0,6,4,2
3,0,1.354122,1,34.8614,0,2,0,1,4,1
3,0,2,1,0,0,3,0,2,4,1
1,0,1.354122,1,34.8614,2,2,0,3,4,1
1,0.52082009,1,1,0,0,0,0,1,3,3
3,0.52082009,2,4,99,5,1,1.8549,7,3,1
1,0,2,4.8714,0,0,0,1.8549,3.281388,3.5490221,1
1,0,1.354122,10,34.8614,0,0,1,3.281388,4,1
9,0.52082009,2,10,99,7,1.0778,1.8549,7,4,1
4,1,0,10,0,0,1,1.8549,5,4,2
1,0,1.354122,1,34.8614,0,2,0,1,4,1
0,0,0,1,0,1,2,1.8549,3,4,1
3,0.52082009,4,4.8714,0,0,0,0,1,3.5490221,1
0,0,0,3,99,6,3,7,6,4,2
2,0,0,10,99,1,2,1.8549,6,3,2
1,1,2,1,0,2,3,0,1,4,1
3,0,2,10,0,0,1,2,5,4,1
1,0,1,2,99,1,0,8,2,3,1
4,1,2,10,0,0,0,5,2,4,1
3,1,1,1,0,0,2,5,4,4,1
3,1,2,10,0,4,3,2,5,4,1
0,1,1.354122,1,34.8614,7,2,1.8549,3.281388,1,1
1,0,1,1,99,5,3,0,2,4,1
3,0,4,10,99,1,1,0,7,4,1
0,0,1.354122,4.8714,34.8614,3,2,0,3.281388,3.5490221,1
0,0.52082009,0,4.8714,0,1,3,1.8549,6,3.5490221,1
3,1,2,1,0,0,1,3,1,4,1
3,0.52082009,1,1,0,1,1,0,6,4,1
3,0,4,5,0,0,0,0,2,4,1
1,0,2,1,0,1,2,3,3.281388,3,1
1,1,2,10,99,4,3,0,2,4,1
4,0.52082009,1,2,99,4,2,3,7,1,1
1,1,1.354122,10,34.8614,0,2,1.8549,3.281388,4,1
3,0,1,10,0,2,2,4,5,3,1
1,1,2,10,0,0,1,1,3,4,1
3,0,4,1,0,0,1,5,2,4,2
2,0.52082009,1.354122,1,0,1,1,0,2,4,1
1,0,2,1,99,0,0,5,5,4,1
3,1,2,1,99,3,2,0,6,4,1
0,0,1.354122,4.8714,34.8614,0,1,1.8549,3.281388,3.5490221,1
1,0,2,1,0,0,2,1.8549,5,4,1
1,1,2,10,99,1,3,1,2,4,1
3,0.52082009,1.354122,1,34.8614,0,1,1,6,4,1
1,1,2,1,0,0,2,0,2,4,1
1,1,2,10,0,0,2,4,1,4,1
1,1,2,10,0,0,1,3,1,4,1
3,0,4,10,0,0,0,1,2,4,1
1,0,1.354122,1,34.8614,0,2,1,1,4,1
1,0,1.354122,10,0,0,1,9,3.281388,4,1
1,0,2,10,0,1,2,3,6,4,1
6,0.52082009,1.354122,10,99,0,2,3,7,4,1
4,0,0,7,99,2,0,2,1,2,2
0,0.52082009,1.354122,10,34.8614,0,1.0778,6,3.281388,4,1
1,0,2,1,0,0,0,1.8549,1,4,1
1,0,2,2,0,1,0,0,1,4,1
0,0.52082009,1.354122,1,34.8614,0,0,0,3.281388,4,1
4,0,2,1,0,1,2,0,2,3,1
1,1,2,1,0,0,0,0,3.281388,4,1
0,1,1.354122,1,34.8614,0,2,0,3.281388,3,1
1,0.52082009,2,1,0,0,0,0,1,4,1
3,1,1.354122,10,34.8614,9,3,4,5,4,5
6,1,4,10,0,0,2,1.8549,2,3,1
7,1,0,10,99,5,1,1.8549,7,4,4
2,0.52082009,1.354122,1,34.8614,0,0,0,5,4,2
2,0.52082009,3,10,1,5,2,1.8549,6,4,3
2,1,1.354122,4,0,0,2,1.8549,3.281388,4,1
5,0.52082009,4,5,99,1,0,0,3,4,2
1,0.52082009,1.354122,4.8714,34.8614,0,0,1.8549,3.281388,3.5490221,1
0,1,0,10,99,3,1,1.8549,7,4,1
3,1,4,4,99,2,1,1,6,2,1
8,1,3,10,99,2,3,0,3.281388,3,3
1,0,2,1,0,0,0,0,1,4,2
3,0.52082009,2,1,0,0,2,0,3,3,3
8,1,0,4,99,1,1,2,7,3,3
7,1,2,4,99,3,1,2,5,3,2
1,0,2,1,0,3,1,0,7,4,1
1,0,1.354122,1,34.8614,0,1,0,1,4,1
1,1,2,3,99,1,3,1,2,4,1
3,1,2,2,99,3,3,8,4,4,1
1,0,2,1,0,2,0,0,4,4,1
4,1,2,1,0,0,2,6,1,4,2
1,1,2,1,0,1,0,0,1,3,1
0,0,0,1,99,1,2,0,2,3,1
2,0,0,1,99,0,0,0,6,4,1
0,0.52082009,1.354122,1,34.8614,0,0,0,3.281388,4,1
3,1,4,1,99,4,3,0,2,4,1
1,1,2,1,0,0,3,0,5,4,2
0,0,0,1,0,0,0,0,1,4,1
1,0.52082009,1.354122,4.8714,34.8614,1,1,1.8549,3.281388,3.5490221,1
1,1,2,1,0,0,2,0,5,3,1
3,0,4,1,0,2,2,0,6,4,1
1,0,2,5,0,0,0,0,1,4,1
3,0.52082009,2,4,0,0,0,3,3,2,1
1,0.52082009,1,1,0,2,0,0,3,4,1
3,1,1.354122,1,34.8614,1,2,0,3.281388,3,1
1,0.52082009,1.354122,1,34.8614,0,0,0,5,4,1
1,1,2,10,0,1,1,1.8549,1,4,1
6,1,0,10,0,1,2,6,3.281388,3,1
1,0,2,1,0,0,0,0,4,3,1
4,1,0,4,99,3,1,6,1,4,1
2,0,0,4,99,2,0,1,7,4,1
1,1,2,10,0,3,1,1.8549,2,3,3
4,1,0,2,0,1,3,4,4,4,2
3,1,1.354122,4,34.8614,1,3,1,1,4,2
0,0,1.354122,1,34.8614,0,2,0,3.281388,4,2
4,0,2,10,99,2,3,1.8549,7,4,1
1,0,1.354122,1,34.8614,0,1,0,1,4,1
5,0,1.354122,1,34.8614,0,0,3,1,3,3
5,1,0,5,99,4,3,1,2,4,1
0,1,1.354122,2,34.8614,4,3,1.8549,3.281388,3,1
3,1,2,10,99,1,2,1.8549,6,3,1
3,1,4,1,99,4,3,0,7,4,1
7,1,4,10,99,6,3,1.8549,7,4,2
11,0,2,10,99,8,3,1.8549,7,3,1
3,0,1,1,99,5,1.0778,1,7,4,1
4,1,1.354122,4,0,1,2,8,1,4,1
3,1,2,10,0,0,0,5,2,4,1
1,0.52082009,2,1,0,0,0,0,1,4,1
2,1,0,1,99,4,3,0,5,3,1
1,0,2,1,99,1,0,2,1,2,1
1,1,2,2,0,0,1,1.8549,3,3,1
6,0.52082009,1,10,99,2,1.0778,1.8549,5,4,1
5,1,2,10,0,0,2,4,1,4,1
5,1,4,10,99,3,1,2,5,3,1
0,0,0,10,0,0,0,3,1,4,1
1,0.52082009,1,1,0,1,0,1.8549,5,4,1
2,0,0,1,0,0,0,6,2,3,1
1,0,1,1,0,0,0,0,1,4,1
0,0,0,1,0,2,1,0,2,4,1
7,0,4,4,0,0,0,0,1,3,1
3,0.52082009,1,1,99,0,1,1,6,4,1
7,0.52082009,1.354122,4,34.8614,4,0,1.8549,6,4,2
0,0,0,2,0,0,1,3,3,3,1
1,0,2,4,0,0,1,1.8549,6,3,1
2,0,0,10,0,2,0,1.8549,7,3,3
2,0,0,2,0,1,0,1.8549,7,3,1
3,0.52082009,1,10,99,0,0,1.8549,3.281388,4,1
0,0,0,4,99,1,0,1.8549,1,2,1
2,1,3,10,99,5,2,1.8549,1,1,2
5,1,0,4.8714,0,1,1,1.8549,2,3.5490221,1
2,0.52082009,0,10,99,0,1,1.8549,5,3,1
0,0,0,4,0,2,2,1.8549,5,3,3
1,0.52082009,2,4.8714,0,0,1.0778,1.8549,1,3.5490221,1
0,0,1.354122,6,34.8614,1,0,1.8549,3.281388,3,1
1,0,2,1,0,0,1,1,1,4,1
1,0.52082009,2,1,0,0,0,0,2,4,1
1,1,2,10,99,3,0,0,1,3,1.52947075
1,0,2,10,0,2,0,7,2,4,1
1,0,2,1,0,2,0,0,1,4,1
1,0,2,10,99,0,1,0,2,4,1
2,0,0,4,99,1,2,6,7,4,1
1,0,2,1,0,1,0,0,1,4,1
1,0.52082009,2,1,99,1,0,1,5,4,1
3,0.52082009,2,3,0,0,0,0,1,4,1
1,0,2,1,0,0,1,7,2,4,1
1,0,2,1,0,0,0,4,2,4,1
5,1,2,10,0,2,1,3,6,4,1
1,0,1.354122,10,34.8614,0,0,3,2,4,1
0,1,0,10,99,4,2,0,4,4,1
1,0,1,10,0,1,0,0,4,4,1
1,0,2,1,0,0,0,0,2,3,2
3,1,2,10,0,1,2,2,7,4,1
3,0.52082009,2,10,0,0,1,1.8549,1,4,1
8,1,4,10,0,3,3,1,3.281388,3,1
4,0.52082009,1.354122,10,34.8614,7,1.0778,5,3.281388,4,1
5,0.52082009,1.354122,5,34.8614,2,0,1,3.281388,2,1
3,1,2,10,0,2,3,1,7,4,2
1,0,2,2,0,0,2,1,2,4,2
5,0.52082009,2,10,0,4,2,1.8549,2,4,1
5,1,0,10,99,3,3,0,7,4,2
1,0,2,10,0,5,1,9,1,4,1
1,0,2,1,0,1,1,0,1,4,1
0,0.52082009,0,1,99,1,1,0,6,4,1
1,0,2,1,99,1,1,0,6,3,1
3,0.52082009,2,5,0,0,0,0,2,4,1
1,0,2,1,0,0,1,0,1,3,1
3,0,1,10,99,0,0,1,2,4,1.52947075
0,1,0,5,99,6,1,0,1,3,2
5,1,2,1,0,5,2,0,7,3,3
1,1,2,10,99,5,3,1,3,4,1
1,0.52082009,0,4,0,0,0,1.8549,1,3,1
5,0.52082009,0,1,99,0,0,1,1,4,1
1,0,1.354122,4.8714,34.8614,2,0,2,3.281388,3.5490221,1
3,1,1,10,99,9,3,1,7,3,3
2,1,0,10,99,4,2,6,5,2,1
0,0,0,1,0,0,2,0,2,4,1
0,1,1.354122,4.8714,34.8614,0,2,1.8549,3.281388,3.5490221,1
1,1,1.354122,1,34.8614,0,1,6,1,4,1.52947075
0,0.52082009,1.354122,4.8714,34.8614,3,3,1.8549,3.281388,3.5490221,1
0,0,1.354122,4.8714,34.8614,0,0,1.8549,3.281388,3.5490221,1
1,0,1.354122,4.8714,34.8614,3,3,1.8549,6,3.5490221,1
0,0.52082009,1.354122,1,34.8614,5,1.0778,1.8549,5,4,1
1,0.52082009,2,1,0,1,2,7,1,4,1
1,0.52082009,2,1,0,2,0,7,1,4,1
4,0,2,10,0,0,1,5,1,4,1
1,0,0,1,0,3,2,0,2,4,1
1,0,2,4,0,1,0,1.8549,5,4,1
1,0.52082009,2,10,0,0,1,1.8549,1,3,1
1,1,2,10,0,0,2,2,1,4,1
3,1,2,1,0,0,1,0,2,4,1
1,1,1.354122,4.8714,34.8614,0,1,1.8549,2,3.5490221,2
0,0,0,5,0,1,0,5,1,3,3
1,0,2,5,0,1,0,0,5,3,1
1,1,2,4.8714,0,0,2,1.8549,6,3.5490221,1
1,1,2,10,0,1,1,1.8549,3,4,1
3,0,4,10,99,1,0,1.8549,3,3,1
1,0,2,1,99,1,2,0,2,4,1
1,1,2,10,0,2,1,1,2,3,2
1,0,2,1,0,0,1,0,1,4,1
1,0.52082009,2,1,0,0,0,0,1,4,1
3,0,2,10,0,0,0,1.8549,3.281388,4,2
1,0,2,1,0,2,1,0,3,3,1
3,1,2,1,0,0,2,0,3,2,2
1,0.52082009,1.354122,1,34.8614,1,0,0,3.281388,4,2
1,0,1.354122,10,34.8614,0,2,3,3.281388,4,1
5,1,0,5,99,2,3,0,7,4,1
7,1,2,1,99,5,2,4,5,4,2
5,0,4,1,99,5,2,4,1,4,1
3,1,2,1,0,1,3,0,5,4,1
1,0,2,1,0,0,0,0,5,4,1
0,1,1.354122,1,34.8614,1,1,0,3.281388,4,1
5,0,1.354122,10,34.8614,0,0,0,3.281388,4,1
3,0,2,10,0,0,1,7,7,4,1
1,0,2,10,0,0,2,1.8549,5,4,2
0,0.52082009,0,1,0,1,0,1,7,4,2
3,0,1.354122,10,34.8614,6,2,1.8549,3.281388,4,3
3,1,2,10,99,2,0,1,5,4,4
3,1,4,10,0,0,0,2,5,1,4
7,0.52082009,0,4,0,0,0,1.8549,3,4,1
1,1,2,1,0,1,1,0,1,4,4
3,1,2,4,99,1,0,1.8549,3,4,2
4,0.52082009,1.354122,10,34.8614,4,1.0778,1.8549,3.281388,4,3
1,0.52082009,1,4,0,0,1.0778,1.8549,5,3,4
2,0.52082009,1,4,99,4,0,1.8549,5,4,1
0,1,1.354122,1,34.8614,1,3,1.8549,3.281388,4,2
1,0.52082009,2,1,0,0,0,9,1,4,1
2,1,1.354122,4.8714,99,8,3,1,2,3.5490221,3
3,1,1.354122,4.8714,0,2,1,1.8549,3.281388,3.5490221,2
0,0,0,10,0,1,2,0,1,3,3
7,1,1,10,99,9,1,1.8549,5,1,2
0,0,1.354122,4,34.8614,1,0,1.8549,3.281388,3,4
2,1,1,10,99,2,2,1.8549,3.281388,4,2
